When,Who,Comment,About,Media,What,Whom,Reference_ID
2021-06-14,@suss_sg,"#SUSSSocialImpact: The Gaza conflict between Israel and Hamas has seen a rise in calls for boycott against brands. What are the impacts of these boycotts? SUSS Marketing lecturer, Dr Lau Kong Cheen, evaluates: https://t.co/OQsLRgKozU",https://t.co/OQsLRgKozU,text,['#SUSSSocialImpact'],[],https://twitter.com/suss_sg/status/1404393682401366016
2021-06-09,@suss_sg,"#SUSSSocialImpact: Do millennials truly feel more entitled and job hop more often than their older counterparts? 🤔 Or have they been misunderstood? Dr Brandon Koh, SUSS Lecturer of Human Resource Management Programme, and his students, discuss more: https://t.co/9NZTFb4ebN",https://t.co/9NZTFb4ebN,text,['#SUSSSocialImpact'],[],https://twitter.com/suss_sg/status/1402597599224401920
2021-06-08,@suss_sg,#SUSSSocialImpact: Can we do more to embrace #diversity and #inclusivity as a society? SUSS’s Associate Professor Leong Chan-Hoong offers his take 📝 on the recent spate of racial incidents: https://t.co/3iEZ0InDSG,https://t.co/3iEZ0InDSG,text,"['#SUSSSocialImpact', '#diversity', '#inclusivity']",[],https://twitter.com/suss_sg/status/1402246030691909633
2021-06-07,@suss_sg,"#SUSSLifeLongLearning: What good does an interdisciplinary education do? 💭 Join Prof Cheong Hee Kiat (President, SUSS) &amp; Dr Jimmy Wong (Senior Lecturer in Marketing, SUSS School of Business) as they discuss more in #SUSSPodcast: https://t.co/3IolmlJvF4 https://t.co/Huj4nUU40U",https://t.co/3IolmlJvF4,photo,"['#SUSSLifeLongLearning', '#SUSSPodcast']",[],https://twitter.com/suss_sg/status/1401856508254687235
2021-06-04,@suss_sg,"#SUSSSocialImpact: How has the #pandemic affected athletes in Singapore? For Eugene Lee, SUSS Master of Management student and one of the founders of Breakaway Triathlon Club🚴, he had to conduct training sessions digitally. Find out more: https://t.co/iH56iqQRic",https://t.co/iH56iqQRic,text,"['#SUSSSocialImpact', '#pandemic']",[],https://twitter.com/suss_sg/status/1400780122370850817
2021-06-03,@suss_sg,"#SUSSSocialImpact: Is the #pandemic bringing out the best or worst in us? 🙂☹️ From public scuffles to brushes with the law, what are the driving causes behind some of the most inexplicable behaviours we see every now and then? 💭 Learn more: https://t.co/hIwJ5StpeT",https://t.co/hIwJ5StpeT,text,"['#SUSSSocialImpact', '#pandemic']",[],https://twitter.com/suss_sg/status/1400255943116533761
2021-06-01,@suss_sg,"#SUSSSocialSciencesBlog:  🏠💻With the lines between home and work blurred in our march towards a post-pandemic world, we shine the spotlight on workplace mental health: https://t.co/BKDbkCPHrI",https://t.co/BKDbkCPHrI,text,['#SUSSSocialSciencesBlog'],[],https://twitter.com/suss_sg/status/1399708056779436038
2021-05-31,@suss_sg,"🎉 Congrats to our student, Sean Neo, who received the Bronze award at the National Youth Entrepreneurship Awards (NYEA) 2021! His startup, Crunch Cutlery, aims to solve the problems of plastic waste and poor urban nutrition by creating edible cutlery: https://t.co/fv98BMhVdJ",https://t.co/fv98BMhVdJ,text,[],[],https://twitter.com/suss_sg/status/1399298105208709122
2021-05-20,@suss_sg,"#HeartOfSUSS: How do we better empower our seniors 👴🏻 👵🏻 as assets in the community? For SUSS Year 3 Social Work students, Koh Fang Ling and Lim Dong Qin, they have been engaging with seniors from Yong-en Care Centre through the art of crafting. Read more: https://t.co/WszMsAPpYT https://t.co/UcsGBGnqw4",https://t.co/WszMsAPpYT,photo,['#HeartOfSUSS'],[],https://twitter.com/suss_sg/status/1395356166591500299
2021-05-17,@suss_sg,"In this two-part #SUSSPodcast Special Episode, Prof Cheong Hee Kiat (SUSS President) and Dr Jimmy Wong (Senior Lecturer in Marketing, SUSS School of Business) discuss the future of interdisciplinary learning and how it impacts educators and students: https://t.co/FnpRZYUrOa https://t.co/9vJb07c6nb",https://t.co/FnpRZYUrOa,photo,['#SUSSPodcast'],[],https://twitter.com/suss_sg/status/1394268990965485577
2021-05-13,@suss_sg,Wishing all our Muslim friends Selamat Hari Raya! Enjoy the day with your loved ones. https://t.co/jT2GrB8X8w,https://video.twimg.com/ext_tw_video/1392677482185244677/pu/vid/320x320/hZNoaBXm0CJylKh2.mp4?tag=12,video,[],[],https://twitter.com/suss_sg/status/1392677496324333568
2021-05-10,@suss_sg,"#SUSSSocialSciencesBlog: With the nation having one of the world's highest life expectancies, there is a need for a closer look at the growing importance of meaningful ageing. Read more: https://t.co/Ni9YDcedW3",https://t.co/Ni9YDcedW3,text,['#SUSSSocialSciencesBlog'],[],https://twitter.com/suss_sg/status/1391726717975334914
2021-05-06,@suss_sg,"#SUSSClassOf2020: Terence Lew, who is deaf, graduated from SUSS with a Bachelor of Arts in Visual Communication with Business. Now, he works as a Senior User Experience Designer at a telecommunications company. Watch his inspiring journey here: https://t.co/qj7r0wIdZr https://t.co/r3VKMVPmtu",https://t.co/qj7r0wIdZr,video,['#SUSSClassOf2020'],[],https://twitter.com/suss_sg/status/1390239158677893124
2021-05-06,@suss_sg,"#SUSSClassOf2020: Meet Jeryl Tan, our Bachelor of Communication with Multimedia graduate who started an initiative to help hawkers during the Circuit Breaker to take photos free of charge and promote their businesses. Watch more: https://t.co/XljZk1DLq2 https://t.co/u72RHjgX5d",https://t.co/XljZk1DLq2,video,['#SUSSClassOf2020'],[],https://twitter.com/suss_sg/status/1390192650674970624
2021-05-05,@suss_sg,"#SUSSClassOf2020: Lily Goh, a deaf social entrepreneur, graduated from SUSS with a Bachelor of Arts in Sociology with Communication. Read how she achieved this against all odds: https://t.co/R3SuO7rLq6

(Note: Article is in Chinese)",https://t.co/R3SuO7rLq6,text,['#SUSSClassOf2020'],[],https://twitter.com/suss_sg/status/1389910499270201346
2021-05-05,@suss_sg,"#SUSSClassOf2020: Meet Dr Aw Yong Keong Poh, a resident Traditional Chinese Medicine (TCM) physician who graduated from SUSS’ Bachelor of Chinese Language and Literature programme at the age of 72! Read more: https://t.co/wNojrNmI61 

(Note: Article is in Chinese)",https://t.co/wNojrNmI61,text,['#SUSSClassOf2020'],[],https://twitter.com/suss_sg/status/1389872245716230145
2021-05-04,@suss_sg,"#SUSSClassOf2020: Meet Yip Chiew Fun, a 66-year-old retired secondary school art teacher and a graduate of the Bachelor of Art Education with Management programme. Find out how she adopted an open mind-set while studying with her younger classmates: https://t.co/ONWGOXcmxr https://t.co/4l2Z41h9Hr",https://t.co/ONWGOXcmxr,video,['#SUSSClassOf2020'],[],https://twitter.com/suss_sg/status/1389473603033440257
2021-04-30,@suss_sg,"For 𝗝𝗲𝗻𝗶𝗻𝗲 𝗞𝗼𝗵, a Bachelor of Early Childhood Education with Entrepreneurship student, her inspiration was none other than her own mother, 𝗝𝗮𝘀𝗹𝘆𝗻 𝗧𝗲𝗼, who received her Master of Early Childhood Education degree at SUSS Convocation 2020. https://t.co/15OiJCYL9G",https://t.co/15OiJCYL9G,text,[],[],https://twitter.com/suss_sg/status/1388101329869021185
2021-04-30,@suss_sg,"#SUSSClassOf2020: How has SUSS played a role in 𝗦𝗮𝗺𝗮𝗻𝘁𝗵𝗮 𝗧𝗮𝗻's professional development as an early childhood educator? Samantha, our Bachelor of Early Childhood Education with Psychology graduate documents her journey in this video:  https://t.co/jXhEVgWgit https://t.co/e3yOpfxqxg",https://t.co/jXhEVgWgit,video,['#SUSSClassOf2020'],[],https://twitter.com/suss_sg/status/1388063500354957314
2021-04-29,@suss_sg,"#SUSSClassOf2020: Find out how 𝗠𝘂𝗵𝗮𝗺𝗺𝗮𝗱 𝗔𝗮𝗱𝗶𝗹 𝗕𝗶𝗻 𝗗𝗮𝗳𝗶𝗿, SUSS School of Law graduate, contributes back to society through education in this video: https://t.co/Mln1VzhIU2

#SUSSsg #singaporelife #singapore #education #socialsciences #higherlearning https://t.co/MlPfxVdI7e",https://t.co/Mln1VzhIU2,video,"['#SUSSClassOf2020', '#SUSSsg', '#singaporelife', '#singapore', '#education', '#socialsciences', '#higherlearning']",[],https://twitter.com/suss_sg/status/1387649665349324801
2021-04-28,@suss_sg,"STARTUP STORY: Becoming a tech entrepreuner was the last thing a younger 𝗔𝗱𝗮𝗺 𝗜𝗵𝘀𝗮𝗻 had in mind. Now, the 23-year-old Alibaba Cloud-SUSS Entrepreneurship Programme student is an IT all-rounder, with multiple projects on hand.

Read more: https://t.co/4WWMTGeLMa https://t.co/vFH7Tmkdzy",https://t.co/4WWMTGeLMa,photo,[],[],https://twitter.com/suss_sg/status/1387379324848848897
2021-04-27,@suss_sg,#SUSSPodcast: Tune in to the second part of the “Doing Good is Good for Business” episode and learn about our student entrepreneurs’ journey of doing good through tech entrepreneurship. Listen now: https://t.co/yN1J0ZC3lc https://t.co/dI8rmjQQU4,https://t.co/yN1J0ZC3lc,photo,['#SUSSPodcast'],[],https://twitter.com/suss_sg/status/1387028008771457027
2021-04-22,@suss_sg,"Meet our SUSS Finance students, 𝗘𝗱𝘄𝗶𝗻 𝗛𝗼 𝗬𝘂𝗮𝗻 𝗬𝗶, and 𝗗𝗲𝗲𝘃𝗮𝗸 𝘀/𝗼 𝗣𝗿𝗲𝗺𝗱𝗮𝘀, founders of Edsy Bitsy an edtech startup whose mission is to make learning more accessible for every child, regardless of their background. Read more: https://t.co/EKRv3ZQbJG https://t.co/kgpfzyHOvb",https://t.co/EKRv3ZQbJG,photo,[],[],https://twitter.com/suss_sg/status/1385195181323001858
2021-04-15,@suss_sg,"SUSS student, 𝗩𝗮𝗹𝗲𝗻 𝗧𝗮𝗻, founded Social Gifting, a social enterprise which curates free workshop sessions for those struggling with autism, cancer, mental illness, etc. Read more: https://t.co/Qqqd1Ii4Dd",https://t.co/Qqqd1Ii4Dd,text,[],[],https://twitter.com/suss_sg/status/1382666400095870983
2021-04-13,@suss_sg,"#SUSSSocialSciencesBlog: We explore the challenges the social sector faces when it comes to recruiting the youth, the strategies they have employed, and how things are moving in the right direction. Read more: https://t.co/JAW2cPgA6f",https://t.co/JAW2cPgA6f,text,['#SUSSSocialSciencesBlog'],[],https://twitter.com/suss_sg/status/1381954074296344581
2021-04-08,@suss_sg,"#SUSSPodcast: In this three-part episode, join SUSS student entrepreneurs who discuss the effectiveness of doing good through tech entrepreneurship. Listen now: https://t.co/yWglK7Xmc2 https://t.co/xwRg74v7xR",https://t.co/yWglK7Xmc2,photo,['#SUSSPodcast'],[],https://twitter.com/suss_sg/status/1380086974954962950
2021-03-24,@suss_sg,"Hungry to learn more about Singapore's first nationally representative food insecurity study? Dr Tania Nagpaul, Senior Lecturer of the Human Resources Management programme at the SUSS S R Nathan School of Human Development explores more in this podcast: https://t.co/nvxwbwogEX",https://t.co/nvxwbwogEX,text,[],[],https://twitter.com/suss_sg/status/1374709084113489920
2021-03-24,@suss_sg,"#SUSSPodcast: SUSS psychology faculty and alumni came together to discuss the impact of mental health on the community, and how companies can support employee’s mental health.

Listen now: https://t.co/RQWtNmGMT8 https://t.co/JKJ2xN2s65",https://t.co/RQWtNmGMT8,photo,['#SUSSPodcast'],[],https://twitter.com/suss_sg/status/1374694743628783620
2021-03-17,@suss_sg,"Did you know, SUSS has partnered with the Singapore Prison Service to let inmates take up a Bachelor of Science in Business programme? Dr Zhou Zihan, lecturer at the SUSS School of Business, shares her experience teaching the inmates in this article: https://t.co/upZsCpfHwD",https://t.co/upZsCpfHwD,text,[],[],https://twitter.com/suss_sg/status/1372145694161649665
2021-03-12,@suss_sg,"Lockdowns and concerns over safety initially affected businesses in the sharing economy, but they have since re-aligned their priorities. Dr Wang Yue, Head of Doctor of Business Administration Programme at SUSS explores more in this commentary: https://t.co/UKtVxmLbRD",https://t.co/UKtVxmLbRD,text,[],[],https://twitter.com/suss_sg/status/1370350362180341762
2021-03-11,@suss_sg,"#SUSSSSocialSciencesBlog: With universities pushing for the digital literacy of blockchain, should we also place equal importance on the ethics behind the technology? Read more: https://t.co/RHej5nCqMr",https://t.co/RHej5nCqMr,text,['#SUSSSSocialSciencesBlog'],[],https://twitter.com/suss_sg/status/1369989736467664901
2021-03-03,@suss_sg,"#SUSSPodcast #SILVERLININGS Ep 3.1 - 'Mental Health At Work' featuring
Dr Emily Ortega, Head of Psychology Programmes, SUSS School of Humanities and Behavioural Sciences, who discusses the impact of mental health on the community with two other hosts: https://t.co/O7wBgtoJkT https://t.co/TDm2qh6F62",https://t.co/O7wBgtoJkT,photo,"['#SUSSPodcast', '#SILVERLININGS']",[],https://twitter.com/suss_sg/status/1367096176416354308
2021-02-21,@suss_sg,We are excited to share the results from the Graduate Employment Survey 2020 that around 94% of SUSS's full-time fresh graduates secured employment within six months of completing their final examinations! Read the full results here: https://t.co/f8iiE4nZ3s https://t.co/QofpDYH2PH,https://t.co/f8iiE4nZ3s,photo,[],[],https://twitter.com/suss_sg/status/1363498364336181258
2021-02-16,@suss_sg,"The GameStop episode showed the power of social media often feeds on emotion, fervour and hype. What's an effective strategy to make inclusive finance more accessible? Yu Yinghui, Head of the SUSS Master of Finance programme discusses more: https://t.co/gZ2qRtbAnL",https://t.co/gZ2qRtbAnL,text,[],[],https://twitter.com/suss_sg/status/1361690554896183300
2021-02-15,@suss_sg,"#SUSSSocialSciencesBlog: Is liquified natural gas (LNG) a game-changer in the shipping industry? Dr Yap Wei Yim, Head, International Trade Management Minor at the SUSS School of Business weighs in the pros and cons of LNG in this article: https://t.co/6Onbf0GKBN",https://t.co/6Onbf0GKBN,text,['#SUSSSocialSciencesBlog'],[],https://twitter.com/suss_sg/status/1361288655516684298
2021-02-12,@suss_sg,SUSS wishes everyone a very Happy Chinese 'Niu' Year! Have a happy and prosperous year ahead! https://t.co/nE7BneuMFM,http://pbs.twimg.com/media/Et_xQftXEAMI54x.jpg,photo,[],[],https://twitter.com/suss_sg/status/1360070883323346944
2021-02-10,@suss_sg,"#SUSSPodcast: In the final part of this episode, join our gerontology faculty and alumni to review the importance of meaningful ageing in our ageing society, and how we can encourage it to brighten our golden years. Tune in to EP2.3 now: https://t.co/j1TXEf8gir https://t.co/wN05gQvfPY",https://t.co/j1TXEf8gir,photo,['#SUSSPodcast'],[],https://twitter.com/suss_sg/status/1359526546638274564
2021-02-02,@suss_sg,"#SUSSSocialSciencesBlog: Pooled testing has the potential to change the way we manage COVID-19. How so? Professor Leong Thin Yin, lecturer of the Business programme at the SUSS School of Business (SBIZ) explains: https://t.co/HxK5m5e74Q",https://t.co/HxK5m5e74Q,text,['#SUSSSocialSciencesBlog'],[],https://twitter.com/suss_sg/status/1356579374024245248
2021-01-27,@suss_sg,"#SUSSPodcast: Prof Kalyani Mehta, Professor of Gerontology, SUSS S R Nathan School of Human Development; Chan Wing, Senior Centre Manager, PAP Community Foundation; &amp; Alan Wong, Manager of Home Care Services, AWWA discuss meaningful ageing in this episode: https://t.co/MxxAjkQMjX",https://t.co/MxxAjkQMjX,text,['#SUSSPodcast'],[],https://twitter.com/suss_sg/status/1354233547826069507
2021-01-26,@suss_sg,"Sng Hock Lin, our PhD student in Gerontology reflects how trees can offer leadership lessons for non-profit organisations. Read his commentary here: https://t.co/SjJKqx9BA4

#SUSSsg #singaporelife #singapore #education #socialsciences #higherlearning #lifelonglearning",https://t.co/SjJKqx9BA4,text,"['#SUSSsg', '#singaporelife', '#singapore', '#education', '#socialsciences', '#higherlearning', '#lifelonglearning']",[],https://twitter.com/suss_sg/status/1354057001521750018
2021-01-19,@suss_sg,"Koh Tieh Yong, Associate Professor at the SUSS College of Lifelong and Experiential Learning reveals that focusing on how countries can reduce their carbon footprint together may be a more productive focus for the climate action agenda. Read more: https://t.co/O4nCsoBpbU",https://t.co/O4nCsoBpbU,text,[],[],https://twitter.com/suss_sg/status/1351512737650761737
2021-01-19,@suss_sg,"In the case of potential merger between Gojek &amp; Grab, the removal of competition against each other will reduce the marketing spend in the fight for attention. Dr Lau Kong Cheen, senior lecturer of the Marketing programme at SUSS SBIZ shares more: https://t.co/9fZ95KeS40",https://t.co/9fZ95KeS40,text,[],[],https://twitter.com/suss_sg/status/1351504684750692352
2021-01-13,@suss_sg,"#SUSSPodcast: Tune in now to #SILVERLININGS Ep 2.1 - Road To Meaningful Ageing. In this three-part episode, join our gerontology faculty and alumni to review the importance of meaningful ageing in our ageing society. Listen now: https://t.co/z7jpwJaXiI",https://t.co/z7jpwJaXiI,text,"['#SUSSPodcast', '#SILVERLININGS']",[],https://twitter.com/suss_sg/status/1349342436024315905
2021-01-12,@suss_sg,The Ministry of Finance (MOF)’s Budget Quiz returns for its 11th run this year with more Budget facts and figures! Are you able to get 10/10 on this quiz? Put on your thinking caps and test your knowledge against family and friends! More info: https://t.co/I7pzDc4mgC https://t.co/86J0dIjklz,https://t.co/I7pzDc4mgC,photo,[],[],https://twitter.com/suss_sg/status/1348989111386968068
2021-01-11,@suss_sg,#SUSSPodcast: Don't miss this two-part episode of #SILVERLININGS Ep 1.2 - 'Social Work X Youths as the speakers discuss their youth work and their personal journeys in the social work sector. Tune in now: https://t.co/TgBVt8MLXr,https://t.co/TgBVt8MLXr,text,"['#SUSSPodcast', '#SILVERLININGS']",[],https://twitter.com/suss_sg/status/1348606586537832450
2021-01-08,@suss_sg,"While the COVID-19 pandemic has made clear the importance of essential workers, showing appreciation should translate into better pay and working conditions. Dr Yew Chiew Ping, head of Contemporary China Studies at SUSS, shares more in this article: https://t.co/t4XFeBsc3M",https://t.co/t4XFeBsc3M,text,[],[],https://twitter.com/suss_sg/status/1347535026204893184
2021-01-06,@suss_sg,"Can the world benefit from China’s economic resilience yet again?  Dr Lim Tai Wei, Associate Professor and Regional Advisor at SUSS, discusses more in this commentary: https://t.co/ygpTW0E4V2",https://t.co/ygpTW0E4V2,text,[],[],https://twitter.com/suss_sg/status/1346821577376231426
2021-01-04,@suss_sg,"TUNE IN NOW: #SUSSPodcast debut - #SILVERLININGS Ep 1.1 - 'Social Work X Youths' featuring Dr Grace Chee, Lecturer of Social Work Programmes at SUSS S R Nathan School of Human Development who discussed about youth work with two of our hosts. Listen now: https://t.co/lPLc5pgtyC",https://t.co/lPLc5pgtyC,text,"['#SUSSPodcast', '#SILVERLININGS']",[],https://twitter.com/suss_sg/status/1346082961200996352
2021-01-01,@suss_sg,"Here's wishing everyone a very Happy New Year! Have a spectacular 2021 ahead.

#SUSSsg #singaporelife #singapore #education #socialsciences #higherlearning #lifelonglearning https://t.co/Q90hWIaoX9",http://pbs.twimg.com/media/EqnxGPyXMAEB8HD.jpg,photo,"['#SUSSsg', '#singaporelife', '#singapore', '#education', '#socialsciences', '#higherlearning', '#lifelonglearning']",[],https://twitter.com/suss_sg/status/1344871056679591936
2020-12-17,@suss_sg,"Meet Mr Rajoo Ravindran, a retired Singapore Police Force assistant superintendent, who recently graduated from our Juris Doctor (JD) law programme at the age of 59.  Find out what inspired Mr Rajoo to continue his studies at SUSS: https://t.co/D3WlVnJJIj",https://t.co/D3WlVnJJIj,text,[],[],https://twitter.com/suss_sg/status/1339550161991835649
2020-12-14,@suss_sg,#SUSSSocialSciencesBlog: Have the pandemic and evolving new normal generated more opportunities to foster problem-solving and coping skills in our children? Read more: https://t.co/2g4XMg4GCf,https://t.co/2g4XMg4GCf,text,['#SUSSSocialSciencesBlog'],[],https://twitter.com/suss_sg/status/1338457965041496064
2020-12-09,@suss_sg,"Is behaving with social responsibility during a pandemic so hard? Dr Brandon Koh, lecturer at the SUSS S R Nathan School of Human development explains that there is a way to shift your mindset: https://t.co/XI6UlwdkSj",https://t.co/XI6UlwdkSj,text,[],[],https://twitter.com/suss_sg/status/1336656936322871297
2020-12-08,@suss_sg,How has Mirosh Singh's work as a COVID-19 swabber changed him and motivated him to give back to society? The part-time Bachelor of Sports and Physical Education with Management student at SUSS shares his journey here: https://t.co/gEpL5rZMgm,https://t.co/gEpL5rZMgm,text,[],[],https://twitter.com/suss_sg/status/1336291945061212160
2020-12-07,@suss_sg,"With COVID-19, additional burdens are piled on the already demanding roles of caregivers, such as dealing with the isolation faced by their care recipients and themselves. Sng Hock Lin, our PhD in Gerontology student discusses more in this article: https://t.co/9b1mTWsFOB",https://t.co/9b1mTWsFOB,text,[],[],https://twitter.com/suss_sg/status/1335922509183676417
2020-12-01,@suss_sg,Can Blockchain be without ethics? Prof David Lee at the SUSS School of Business and Dr Daniel Seah at the SUSS School of Law shed light on this topic in this article: https://t.co/98jzUlyd0e https://t.co/8Uopanl6Dt,https://t.co/98jzUlyd0e,photo,[],[],https://twitter.com/suss_sg/status/1333747933209038848
2020-11-20,@suss_sg,"#SUSSTraineeLife: What goes behind the scenes of the Talent Acquisition team at SUSS? Our #SGUnited trainee and a graduate of the SUSS Human Resource Management programme, Amanda Lim, documents her everyday tasks and her involvement in a new project here: https://t.co/pvzgC68GfP https://t.co/EnfE1oVUZC",https://t.co/pvzgC68GfP,video,"['#SUSSTraineeLife', '#SGUnited']",[],https://twitter.com/suss_sg/status/1329769256930709506
2020-11-18,@suss_sg,"TUNE IN NOW: #SUSSPodcast debut - #FUTURESOCIAL Ep #4 - 'The Case for Online Learning' featuring Dr Daniel Seah, our Law Lecturer, where he shares how learning digitally will be for the long haul, for learners and higher education providers. Listen now: https://t.co/iz6FU5jbti https://t.co/yYOkqz69JW",https://t.co/iz6FU5jbti,video,"['#SUSSPodcast', '#FUTURESOCIAL']",[],https://twitter.com/suss_sg/status/1329039718928052226
